fall,nametype,mass,name,recclass,reclat,reclong,id,geolocation.latitude,geolocation.needs_recoding,geolocation.longitude,yearOnly,eraName
Fell,Valid,472,Nogata,L6,33.725000,130.750000,16988,33.725,FALSE,130.75,861,middleAges
Fell,Valid,NA,Narni,Stone-uncl,42.516670,12.516670,16914,42.51667,FALSE,12.51667,921,middleAges
Fell,Valid,107e3,Elbogen,"Iron, IID",50.183330,12.733330,7823,50.18333,FALSE,12.73333,1400,middleAges
Fell,Valid,103.3,Rivolta de Bassi,Stone-uncl,45.483330,9.516670,22614,45.48333,FALSE,9.51667,1491,middleAges
Fell,Valid,127e3,Ensisheim,LL6,47.866670,7.350000,10039,47.86667,FALSE,7.35,1492,middleAges
Fell,Valid,NA,Oliva-Gandia,Stone-uncl,39.000000,-0.033330,18012,39,FALSE,-0.03333,1520,earlyModernPeriod
Fell,Valid,15e3,Castrovillari,Stone-uncl,39.800000,16.200000,5295,39.8,FALSE,16.2,1583,earlyModernPeriod
Fell,Valid,1967,Jalandhar,Iron,31.000000,75.000000,12069,31,FALSE,75,1621,earlyModernPeriod
Fell,Valid,10400,Stretchleigh,Stone-uncl,50.383330,-3.950000,23732,50.38333,FALSE,-3.95,1623,earlyModernPeriod
Fell,Valid,29e3,Hatford,Stone-uncl,51.650000,-1.516670,11855,51.65,FALSE,-1.51667,1628,earlyModernPeriod
Fell,Valid,1040,Minamino,L,35.078330,136.933330,16692,35.07833,FALSE,136.93333,1632,earlyModernPeriod
Fell,Valid,NA,Sagan,Stone-uncl,51.533330,14.883330,22796,51.53333,FALSE,14.88333,1636,earlyModernPeriod
Fell,Valid,17e3,Mount Vaisi,Stone-uncl,44.083330,6.866670,16805,44.08333,FALSE,6.86667,1637,earlyModernPeriod
Fell,Valid,NA,Stolzenau,Stone-uncl,52.533330,9.050000,23726,52.53333,FALSE,9.05,1647,earlyModernPeriod
Fell,Valid,NA,Fünen,Stone-uncl,55.333330,10.333330,10838,55.33333,FALSE,10.33333,1654,earlyModernPeriod
Fell,Valid,NA,Novy-Ergi,Stone-uncl,58.550000,31.333330,17934,58.55,FALSE,31.33333,1662,earlyModernPeriod
Fell,Valid,4500,Ortenau,Stone-uncl,48.500000,8.000000,18033,48.5,FALSE,8,1671,earlyModernPeriod
Fell,Valid,695,Sasagase,H,34.716670,137.783330,23187,34.71667,FALSE,137.78333,1688,earlyModernPeriod
Fell,Valid,NA,Barcelona (stone),OC,41.366670,2.166670,4944,41.36667,FALSE,2.16667,1704,earlyModernPeriod
Fell,Valid,7e3,Schellin,L,53.350000,15.050000,23457,53.35,FALSE,15.05,1715,earlyModernPeriod
Fell,Valid,39,Ploschkovitz,L5,50.533330,14.116670,18849,50.53333,FALSE,14.11667,1723,earlyModernPeriod
Fell,Valid,24700,Rasgrad,Stone-uncl,43.500000,26.533330,22396,43.5,FALSE,26.53333,1740,earlyModernPeriod
Fell,Valid,14360,Ogi,H6,33.283330,130.200000,17994,33.28333,FALSE,130.2,1741,earlyModernPeriod
Fell,Valid,NA,Nicorps,Stone-uncl,49.033330,-1.433330,16970,49.03333,FALSE,-1.43333,1750,earlyModernPeriod
Fell,Valid,49e3,Hraschina,"Iron, IID",46.100000,16.333330,11916,46.1,FALSE,16.33333,1751,earlyModernPeriod
Fell,Valid,14e3,Luponnas,H3-5,46.216670,5.000000,14757,46.21667,FALSE,5,1753,earlyModernPeriod
Fell,Valid,7540,Tabor,H5,49.400000,14.650000,23776,49.4,FALSE,14.65,1753,earlyModernPeriod
Fell,Valid,2e3,Albareto,L/LL4,44.650000,11.016670,453,44.65,FALSE,11.01667,1766,earlyModernPeriod
Fell,Valid,3500,Lucé,L6,47.850000,0.483330,14724,47.85,FALSE,0.48333,1768,earlyModernPeriod
Fell,Valid,19e3,Mauerkirchen,L6,48.183330,13.133330,15446,48.18333,FALSE,13.13333,1768,earlyModernPeriod
Fell,Valid,NA,Aire-sur-la-Lys,Unknown,50.666670,2.333330,425,50.66667,FALSE,2.33333,1769,earlyModernPeriod
Fell,Valid,4e3,Sena,H4,41.716670,-0.050000,23495,41.71667,FALSE,-0.05,1773,earlyModernPeriod
Fell,Valid,NA,Owrucz,OC,51.333330,28.833330,18062,51.33333,FALSE,28.83333,1775,earlyModernPeriod
Fell,Valid,2900,Rodach,Stone-uncl,50.350000,10.800000,22642,50.35,FALSE,10.8,1775,earlyModernPeriod
Fell,Valid,NA,Pettiswood,Stone-uncl,53.533330,-7.333330,18804,53.53333,FALSE,-7.33333,1779,earlyModernPeriod
Fell,Valid,3e3,Eichstädt,H5,48.900000,11.216670,7775,48.9,FALSE,11.21667,1785,earlyModernPeriod
Fell,Valid,1500,Kharkov,L6,50.625000,35.075000,12291,50.625,FALSE,35.075,1787,earlyModernPeriod
Fell,Valid,6400,Barbotan,H5,43.950000,-0.050000,4942,43.95,FALSE,-0.05,1790,earlyModernPeriod
Fell,Valid,NA,Castel Berardenga,Stone-uncl,43.350000,11.500000,5292,43.35,FALSE,11.5,1791,earlyModernPeriod
Fell,Valid,3700,Siena,LL5,43.116670,11.600000,23586,43.11667,FALSE,11.6,1794,earlyModernPeriod
Fell,Valid,25.5,Mulletiwu,L,9.333330,80.833330,16851,9.33333,FALSE,80.83333,1795,earlyModernPeriod
Fell,Valid,1850,Bjelaja Zerkov,H6,49.783330,30.166670,5063,49.78333,FALSE,30.16667,1796,earlyModernPeriod
Fell,Valid,4500,Portugal,Stone-uncl,38.500000,-8.000000,18876,38.5,FALSE,-8,1796,earlyModernPeriod
Fell,Valid,3700,Benares (a),LL4,25.366670,82.916670,5011,25.36667,FALSE,82.91667,1798,earlyModernPeriod
Fell,Valid,9e3,Salles,L5,46.050000,4.633330,23111,46.05,FALSE,4.63333,1798,earlyModernPeriod
Fell,Valid,220,Mauritius,L6,-20.000000,57.000000,15447,-20,FALSE,57,1801,oilAge
Fell,Valid,3200,Apt,L6,43.866670,5.383330,2320,43.86667,FALSE,5.38333,1803,oilAge
Fell,Valid,37e3,L'Aigle,L6,48.766670,0.633330,12434,48.76667,FALSE,0.63333,1803,oilAge
Fell,Valid,1600,Mässing,Howardite,48.133330,12.616670,15443,48.13333,FALSE,12.61667,1803,oilAge
Fell,Valid,56,Bocas,L6,23.000000,-102.000000,5093,23,FALSE,-102,1804,oilAge
Fell,Valid,100,Darmstadt,H5,49.866670,8.650000,6603,49.86667,FALSE,8.65,1804,oilAge
Fell,Valid,4500,High Possil,L6,55.900000,-4.233330,11884,55.9,FALSE,-4.23333,1804,oilAge
Fell,Valid,41,Asco,H6,42.450000,9.033330,2345,42.45,FALSE,9.03333,1805,oilAge
Fell,Valid,3891,Doroninsk,H5-7,51.200000,112.300000,7718,51.2,FALSE,112.3,1805,oilAge
Fell,Valid,6e3,Alais,CI1,44.116670,4.083330,448,44.11667,FALSE,4.08333,1806,oilAge
Fell,Valid,65500,Timochin,H5,54.500000,35.200000,24004,54.5,FALSE,35.2,1807,oilAge
Fell,Valid,1676,Borgo San Donino,LL6,44.866670,10.050000,5110,44.86667,FALSE,10.05,1808,oilAge
Fell,Valid,12800,Lissa,L6,50.200000,14.850000,14661,50.2,FALSE,14.85,1808,oilAge
Fell,Valid,70,Moradabad,L6,28.783330,78.833330,16740,28.78333,FALSE,78.83333,1808,oilAge
Fell,Valid,52e3,Stannern,Eucrite-mmict,49.283330,15.566670,23713,49.28333,FALSE,15.56667,1808,oilAge
Fell,Valid,195,Kikino,H6,55.000000,34.000000,12306,55,FALSE,34,1809,oilAge
Fell,Valid,1360,Caswell County,OC,36.500000,-79.250000,5296,36.5,FALSE,-79.25,1810,oilAge
Fell,Valid,27e3,Charsonville,H6,47.933330,1.566670,5329,47.93333,FALSE,1.56667,1810,oilAge
Fell,Valid,3520,Mooresfort,H5,52.450000,-8.333330,16737,52.45,FALSE,-8.33333,1810,oilAge
Fell,Valid,1440,Berlanguillas,L6,41.683330,-3.800000,5029,41.68333,FALSE,-3.8,1811,oilAge
Fell,Valid,6e3,Kuleschovka,L6,50.750000,33.500000,12370,50.75,FALSE,33.5,1811,oilAge
Fell,Valid,100,Punganaru,Stone-uncl,13.333330,78.950000,18902,13.33333,FALSE,78.95,1811,oilAge
Fell,Valid,500,Borodino,H5,55.466670,35.866670,5114,55.46667,FALSE,35.86667,1812,oilAge
Fell,Valid,31500,Chantonnay,L6,46.683330,1.050000,5325,46.68333,FALSE,1.05,1812,oilAge
Fell,Valid,2250,Erxleben,H6,52.216670,11.250000,10049,52.21667,FALSE,11.25,1812,oilAge
Fell,Valid,5e4,Limerick,H5,52.566670,-8.783330,14652,52.56667,FALSE,-8.78333,1813,oilAge
Fell,Valid,885,Luotolax,Howardite,61.200000,27.700000,14756,61.2,FALSE,27.7,1813,oilAge
Fell,Valid,3e4,Agen,H5,44.216670,0.616670,392,44.21667,FALSE,0.61667,1814,oilAge
Fell,Valid,18e3,Bachmut,L6,48.600000,38.000000,4917,48.6,FALSE,38,1814,oilAge
Fell,Valid,0.5,Chail,H6,25.366670,81.666670,5314,25.36667,FALSE,81.66667,1814,oilAge
Fell,Valid,28,Gurram Konda,L6,13.783330,78.566670,11464,13.78333,FALSE,78.56667,1814,oilAge
Fell,Valid,4e3,Chassigny,Martian (chassignite),47.716670,5.366670,5331,47.71667,FALSE,5.36667,1815,oilAge
Fell,Valid,13200,Durala,L6,30.300000,76.633330,7750,30.3,FALSE,76.63333,1815,oilAge
Fell,Valid,0.2,Hachi-oji,H?,35.650000,139.333330,11468,35.65,FALSE,139.33333,1817,oilAge
Fell,Valid,8500,Seres,H4,41.050000,23.566670,23501,41.05,FALSE,23.56667,1818,oilAge
Fell,Valid,2750,Slobodka,L4,55.000000,35.000000,23645,55,FALSE,35,1818,oilAge
Fell,Valid,5e3,Jonzac,Eucrite-mmict,45.433330,-0.450000,12202,45.43333,FALSE,-0.45,1819,oilAge
Fell,Valid,3e3,Pohlitz,L5,50.933330,12.133330,18853,50.93333,FALSE,12.13333,1819,oilAge
Fell,Valid,5213,Lixna,H4,56.000000,26.433330,14670,56,FALSE,26.43333,1820,oilAge
Fell,Valid,91e3,Juvinas,Eucrite-mmict,44.716670,4.300000,12214,44.71667,FALSE,4.3,1821,oilAge
Fell,Valid,NA,Angers,L6,47.466670,-0.550000,2301,47.46667,FALSE,-0.55,1822,oilAge
Fell,Valid,277,Épinal,H5,48.183330,6.466670,10041,48.18333,FALSE,6.46667,1822,oilAge
Fell,Valid,4e3,Futtehpur,L6,25.950000,80.816670,10839,25.95,FALSE,80.81667,1822,oilAge
Fell,Valid,89,Kadonah,H6,27.083330,78.333330,12221,27.08333,FALSE,78.33333,1822,oilAge
